RESP_NUM,Q2,Q3,TRIPS,Q4_TOTAL,Q5_TOTAL,Q4AP,Q4BP,Q4CP,Q4DP,Q4EP,Q4FP,Q4GP,Q4HP,Q5AP,Q5BP,Q5CP,Q5DP,Q5EP,Q5FP,Q5GP,Q5HP,WORK,SCH,SHOP,SOC,HOME,OTH-P-SF,DK-P-SF,REL,SFINTMODE,Q4AM,Q4BM,Q4CM,Q4DM,Q4EM,Q4FM,Q4GM,Q4HM,Q5AM,Q5BM,Q5CM,Q5DM,Q5EM,Q5FM,Q5GM,Q5HM,DA,DO,CRSHRE,TNC,TAXI,TRANS,SHTTLE,BIKE,WALK,SCOOT,OTH-M-SF,DK-M-SF,Q4AD,Q4BD,Q4CD,Q4DD,Q4ED,Q4FD,Q4GD,Q4HD,Q5AD,Q5BD,Q5CD,Q5DD,Q5ED,Q5FD,Q5GD,Q5HD,SF-D1,SF-D2,SF-D3,Q6,Q8,Q10,Q11_TOTAL,Q12,Q19,Q13,Q15,Q16M,Q17,Q18_TOTAL,Q9M,Q7P,9P-ADJ,Q11AP,Q11BP,Q11CP,Q11DP,Q11EP,Q11FP,Q11GP,Q11HP,Q14P,Q16P-ADJ,Q18AP,Q18BP,Q18CP,Q18DP,Q18EP,Q18FP,Q18GP,Q18HP,WORK1,WORK2,SCH1,SCH2,SHOP1,SHOP2,SOC1,SOC2,HOME1,HOME2,OTH1-P,OTH2-P,DK1-P,DK2-P,REL1,REL2,Q7M,Q9M-ADJ,Q11AM,Q11BM,Q11CM,Q11DM,Q11EM,Q11FM,Q11GM,Q11HM,Q14M,Q16M-ADJ,Q18AM,Q18BM,Q18CM,Q18DM,Q18EM,Q18FM,Q18GM,Q18HM,DA1,DA2,DO1,DO2,CRSHRE1,CRSHRE2,TNC1,TNC2,TAXI1,TAXI2,TRANS1,TRANS2,SHTTLE1,SHTTLE2,BIKE1,BIKE2,WALK1,WALK2,SCOOT1,SCOOT2,OTH1-M,OTH2-M,DK1-M,DK2-M,Q7D,Q9D,Q11AD,Q11BD,Q11CD,Q11DD,Q11ED,Q11FD,Q11GD,Q11HD,Q14D,Q16D,Q18AD,Q18BD,Q18CD,Q18DD,Q18ED,Q18FD,Q18GD,Q18HD,OSF1-D1,OSF1-D2,OSF1-D3,OSF2-D1,OSF2-D2,OSF2-D3,OSF-D1,OSF-D2,OSF-D3,Q20A,Q21A,Q21B,Q21C,Q21D,Q22,Q23,Q24-SF,Q24-NSF,Q24A,Q25,Q26-1,Q26-2,Q26-3,Q26-4,Q26-5,Q27,Q28,SAMPLE_TYPE,LANGUAGE,ZONE,INTERVIEW_DAY,INTERVIEW_DATE,AGECO,WEIGHT
2,9,,2,2,0,3,5,,,,,,,,,,,,,,,0,0,1,0,1,0,0,0,6,6,6,,,,,,,,,,,,,,,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,1,1,B,1,B,10,,5,1,1,,,,,1,1,1,1,5,2,10/6/2014,1,1.04312
3,9,,11,6,5,1,3,1,3,3,5,,,1,3,4,1,5,,,,4,0,4,1,2,0,0,0,4,4,1,1,6,9,6,,,6,9,9,2,6,,,,2,1,0,1,0,4,0,0,3,0,0,0,,2,2,,,,,,,,,1,,,,,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,1,1,B,2,B,19,,94110,2,1,3,4,,,4,2,3,1,5,2,10/6/2014,2,1.115464198
4,1,1,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,2,,8,8,1,1,,2,,,3,5,,,,,,,,,1,5,,,,,,,,,0,8,0,0,8,0,0,0,8,8,0,0,0,0,0,0,2,2,,,,,,,,,1,1,,,,,,,,,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,2,2,,,,,,,,,0,16,0,0,16,0,0,32,0,6,4,1,6,B,7,B,,94619,5,2,4,,,,,5,2,3,1,,2,10/6/2014,7,1.048985294
5,3,1,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,10,10,2,,,,,,4,5,4,3,4,4,,,,,,,,,,,,,,,0,0,0,0,10,0,40,0,10,0,0,0,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,,,,,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,,,,,,,,,,,,,,,24,24,0,0,0,0,24,24,0,6,1,1,1,B,4,B,,94945,4,5,4,,,,,4,1,3,1,,2,10/6/2014,10,0.93027803
6,9,,6,4,2,4,4,4,5,,,,,3,5,,,,,,,0,0,1,3,2,0,0,0,2,2,7,7,2,,,,,9,9,,,,,,,0,2,0,0,0,0,2,0,2,0,0,0,2,,,2,,,,,,,,,,,,,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,B,4,B,20,,94010,4,4,,,,,4,1,1,1,4,2,10/6/2014,4,0.870378261
7,8,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,1,4,4,5,2,,,,,,1,5,1,5,3,4,,,,,,,,,,,,,,,8,0,0,0,4,0,4,0,8,0,0,0,0,0,0,0,2,2,2,1,1,1,,,,,,,,,,,,,,,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,,,,,,,,,,,,,,,8,40,0,0,0,0,8,40,0,12,6,1,1,B,4,B,,R,94114,4,4,,,,,4,2,3,1,,2,10/6/2014,9,1.074865278
8,3,1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,1,3,15,10,2,,,,,,1,5,1,3,4,,,,,,,,,,,,,,,,30,0,0,0,15,0,15,0,15,0,0,0,0,0,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,,,,,,,,,,,,,,,,8,32,0,0,0,0,8,32,0,12,3,1,1,B,4,B,,94925,4,3,4,,,,,4,1,3,1,,2,10/6/2014,8,0.93861625
10,9,,12,8,4,3,3,1,3,4,1,3,5,3,1,3,5,,,,,3,0,6,1,2,0,0,0,2,2,1,1,9,9,9,1,2,2,1,1,2,,,,,5,4,0,0,0,0,0,0,3,0,0,0,2,2,1,,,,2,2,2,2,2,2,,,,,1,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,1,1,B,5,B,16,,94121,3,4,,,,,3,1,1,1,3,4,10/8/2014,3,0.865878313
11,1,1,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,1,3,20,,2,,,,,,1,7,3,1,5,,,,,,,,,,,,,,,,40,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,6,6,9,9,6,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,40,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,4,1,6,B,1,B,,94544,94127,4,2,,,,,2,2,3,1,,4,10/8/2014,9,1.074865278
12,9,,2,2,0,3,5,,,,,,,,,,,,,,,0,0,1,0,1,0,0,0,2,2,1,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1,1,B,2,B,10,,2,3,3,,,,,1,1,3,1,5,4,10/8/2014,3,0.865878313
13,9,,6,3,3,1,3,5,,,,,,1,3,5,,,,,,2,0,2,0,2,0,0,0,9,9,8,8,,,,,,9,8,8,,,,,,0,0,0,0,0,0,0,4,2,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,1,4,B,5,B,5,,94107,5,4,,,,,1,1,3,1,1,4,10/8/2014,5,1.088087255
